url,nama toko,rating,jumlah review,kategori,alamat,kota,jumlah mall terdekat,jumlah kantor terdekat,jumlah sekolah terdekat,label
https://www.google.com/maps/place/Fakultas+Kopi+Jakarta/data=!4m7!3m6!1s0x2e69f404f476b09d:0xad1e2ce92f97ab00!8m2!3d-6.2118378!4d106.828466!16s%2Fg%2F11df3mdnv0!19sChIJnbB29AT0aS4RAKuXL-ksHq0?authuser=0&hl=en&rclk=1,Fakultas Kopi Jakarta,4.4,1126,Cafe,"Jl. Karet Karya VII No.7, RW.7",Jakarta Selatan,1,4,8,Toko Kopi
https://www.google.com/maps/place/Anomali+Coffee+-+Senopati/data=!4m7!3m6!1s0x2e69f15b0756b151:0x8712710a5ee786cf!8m2!3d-6.2305437!4d106.8080776!16s%2Fg%2F1tf8j37j!19sChIJUbFWB1vxaS4Rz4bnXgpxEoc?authuser=0&hl=en&rclk=1,Anomali Coffee - Senopati,4.5,3977,Cafe,"Jl. Senopati No.19, RW.3",Jakarta Selatan,6,7,2,Toko Kopi
https://www.google.com/maps/place/Toko+Kopi+Tuku+-+Cipete/data=!4m7!3m6!1s0x2e69f1929f4500cf:0x8872c874bb0035ef!8m2!3d-6.2775754!4d106.8014966!16s%2Fg%2F11bwgfklkq!19sChIJzwBFn5LxaS4R7zUAu3TIcog?authuser=0&hl=en&rclk=1,Toko Kopi Tuku - Cipete,4.7,3610,Cafe,"Jl. Cipete Raya B No.7, RT.6/RW.3",Jakarta Selatan,3,1,10,Toko Kopi
https://www.google.com/maps/place/Sallo+Coffee/data=!4m7!3m6!1s0x2e69f39a5568be19:0x323a8e9c42509a0e!8m2!3d-6.2391453!4d106.8531853!16s%2Fg%2F11cmtbtmz9!19sChIJGb5oVZrzaS4RDppQQpyOOjI?authuser=0&hl=en&rclk=1,Sallo Coffee,4.4,2420,Coffee shop,"1, Jl. Tebet Timur Raya No.43, RT.5/RW.10",Jakarta Selatan,0,4,2,Toko Kopi
https://www.google.com/maps/place/Kopikina+Coffee/data=!4m7!3m6!1s0x2e69f3f6f5069503:0x5ddceeb9e9a735b3!8m2!3d-6.2393032!4d106.8562326!16s%2Fg%2F11c3k6fp7p!19sChIJA5UG9fbzaS4RszWn6bnu3F0?authuser=0&hl=en&rclk=1,Kopikina Coffee,4.4,2099,Coffee shop,"Jl. Tebet Timur Dalam Raya No.43, RT.1/RW.8",Jakarta Selatan,1,4,3,Toko Kopi
https://www.google.com/maps/place/Pison+Jakarta/data=!4m7!3m6!1s0x2e69f15c026b141f:0xa7f64e78df23723a!8m2!3d-6.2336553!4d106.8118554!16s%2Fg%2F11dztjmf6w!19sChIJHxRrAlzxaS4ROnIj33hO9qc?authuser=0&hl=en&rclk=1,Pison Jakarta,4.6,2094,Cafe,Jl. Kertanegara Jl. Senopati No.70,Jakarta Selatan,3,4,1,Toko Kopi
https://www.google.com/maps/place/Crematology+x+Senopati/data=!4m7!3m6!1s0x2e69f15ef6689731:0xe4f7f3346ab46e5f!8m2!3d-6.2353933!4d106.8138413!16s%2Fg%2F1yh9sqb9r!19sChIJMZdo9l7xaS4RX260ajTz9-Q?authuser=0&hl=en&rclk=1,Crematology x Senopati,4.4,1888,Coffee shop,"Jl. Suryo No.25, RT.3/RW.6",Jakarta Selatan,0,3,1,Toko Kopi
https://www.google.com/maps/place/First+Crack+Coffee/data=!4m7!3m6!1s0x2e69f1076e78f19f:0xf97da87c79406d61!8m2!3d-6.2371902!4d106.7900669!16s%2Fg%2F11h1kds1qg!19sChIJn_F4bgfxaS4RYW1AeXyoffk?authuser=0&hl=en&rclk=1,First Crack Coffee,4.8,1734,Coffee shop,"Jl. Bumi No.10, RT.2/RW.3",Jakarta Selatan,4,3,8,Toko Kopi
https://www.google.com/maps/place/ST+ALi+-+Jakarta/data=!4m7!3m6!1s0x2e69f3eef6a3202d:0x9b5282f1e98b950a!8m2!3d-6.2159999!4d106.8300667!16s%2Fg%2F11cllq390c!19sChIJLSCj9u7zaS4RCpWL6fGCUps?authuser=0&hl=en&rclk=1,ST ALi - Jakarta,4.3,1563,Cafe,"Setiabudi Building 2 Lt. Dasar No.103A Jalan Haji R. Rasuna Said No.kav 62 RT.6/RW.7 Kuningan, RT.6/RW.7",Jakarta Selatan,3,4,7,Toko Kopi
https://www.google.com/maps/place/Kopi+Nalar/data=!4m7!3m6!1s0x2e69f166697d2ac9:0x873a8f2028cacb4e!8m2!3d-6.242093!4d106.8079145!16s%2Fg%2F11c7t0wb_3!19sChIJySp9aWbxaS4RTsvKKCCPOoc?authuser=0&hl=en&rclk=1,Kopi Nalar,4.5,1563,Coffee shop,"14, Jl. Prof. Joko Sutono SH No.7, RT.14/RW.6",Jakarta Selatan,3,1,4,Toko Kopi
https://www.google.com/maps/place/Toko+Kopi+TUKU+%28Go-Food+Only%29/data=!4m7!3m6!1s0x2e69f184fcba615f:0xfb93a7ca2fda8078!8m2!3d-6.2661937!4d106.8083377!16s%2Fg%2F11fz_bd2ll!19sChIJX2G6_ITxaS4ReIDaL8qnk_s?authuser=0&hl=en&rclk=1,Toko Kopi TUKU (Go-Food Only),4.7,1456,Coffee shop,"Jl. Abdul Majid Raya No.26, RT.7/RW.2",Jakarta Selatan,5,5,9,Toko Kopi
https://www.google.com/maps/place/Anomali+Coffee+Setiabudi/data=!4m7!3m6!1s0x2e69f40870d181a1:0xcb330100e8950555!8m2!3d-6.2157341!4d106.8302624!16s%2Fg%2F1thzy9hy!19sChIJoYHRcAj0aS4RVQWV6AABM8s?authuser=0&hl=en&rclk=1,Anomali Coffee Setiabudi,4.4,1416,Cafe,"Setiabudi One, Jl. HR Rasuna Said No.62, RT.18/RW.2",Jakarta Selatan,2,3,7,Toko Kopi
https://www.google.com/maps/place/Toko+Kopi+Seduh+-+Jagakarsa+%28Forest+View%29/data=!4m7!3m6!1s0x2e69ef1abe7cb743:0x2d83d0d8a5b79472!8m2!3d-6.3218351!4d106.8140452!16s%2Fg%2F11hzwh5hyj!19sChIJQ7d8vhrvaS4RcpS3pdjQgy0?authuser=0&hl=en&rclk=1,Toko Kopi Seduh - Jagakarsa (Forest View),4.6,1409,Coffee shop,"4, Jl. Durian No.15",Jakarta Selatan,2,0,5,Toko Kopi
https://www.google.com/maps/place/Titik+Temu+Cafe+-+Cipete/data=!4m7!3m6!1s0x2e69f1af3dd0f03d:0x99da24758db523b1!8m2!3d-6.2780065!4d106.8077161!16s%2Fg%2F11fd456jb5!19sChIJPfDQPa_xaS4RsSO1jXUk2pk?authuser=0&hl=en&rclk=1,Titik Temu Cafe - Cipete,4.4,1378,Coffee shop,Jl. Cipete Raya No.37,Jakarta Selatan,2,0,10,Toko Kopi
https://www.google.com/maps/place/Relung+Kopi/data=!4m7!3m6!1s0x2e69f374f56068eb:0x7e4dcf9b79d9deae!8m2!3d-6.2385848!4d106.8504262!16s%2Fg%2F11h_4nx3c4!19sChIJ62hg9XTzaS4Rrt7ZeZvPTX4?authuser=0&hl=en&rclk=1,Relung Kopi,4.5,997,Coffee shop,"7, Jl. Tebet Barat IX No.17, RT.7/RW.4",Jakarta Selatan,2,6,4,Toko Kopi
https://www.google.com/maps/place/Jakarta+Coffee+House+%28JCH%29/data=!4m7!3m6!1s0x2e69f19364da5ecd:0x70299c9131e0f78a!8m2!3d-6.2780689!4d106.8044949!16s%2Fg%2F11h0x69b3!19sChIJzV7aZJPxaS4RivfgMZGcKXA?authuser=0&hl=en&rclk=1,Jakarta Coffee House (JCH),4.5,855,Coffee shop,"Jl. Cipete Raya No.2, RT.8/RW.4",Jakarta Selatan,3,0,10,Toko Kopi
https://www.google.com/maps/place/Toko+Kopi+TUKU+-+Pasar+Santa/data=!4m7!3m6!1s0x2e69f160d28582a3:0x4c98e035738b2cdd!8m2!3d-6.23973!4d106.8119815!16s%2Fg%2F11d_vbqj15!19sChIJo4KF0mDxaS4R3SyLczXgmEw?authuser=0&hl=en&rclk=1,Toko Kopi TUKU - Pasar Santa,4.6,728,Coffee shop,"Ps. Santa, Lantai Dasar, Kiosk 176-177, Jl. Cipaku I No.2, RT.5/RW.4",Jakarta Selatan,0,1,5,Toko Kopi
https://www.google.com/maps/place/KINA/data=!4m7!3m6!1s0x2e69f1f752195acd:0x4727d5401ad0fbc4!8m2!3d-6.2366566!4d106.815971!16s%2Fg%2F11kf8j3r89!19sChIJzVoZUvfxaS4RxPvQGkDVJ0c?authuser=0&hl=en&rclk=1,KINA,4.6,717,Cafe,Jl. Birah II No.82,Jakarta Selatan,6,6,6,Toko Kopi
https://www.google.com/maps/place/Wisangkopi/data=!4m7!3m6!1s0x2e69f184e590a879:0xd4a45ad15992c2cc!8m2!3d-6.2489081!4d106.798322!16s%2Fg%2F11btytgz9r!19sChIJeaiQ5YTxaS4RzMKSWdFapNQ?authuser=0&hl=en&rclk=1,Wisangkopi,4.7,691,Coffee shop,"Jl. Panglima Polim V No.9, RW.6",Jakarta Selatan,4,6,4,Toko Kopi
https://www.google.com/maps/place/CHIEF+COFFEE+-+KEMANG/data=!4m7!3m6!1s0x2e69f1804f26b883:0x6c30985c0a34370b!8m2!3d-6.2599276!4d106.8156715!16s%2Fg%2F11g8wd5vmf!19sChIJg7gmT4DxaS4RCzc0ClyYMGw?authuser=0&hl=en&rclk=1,CHIEF COFFEE - KEMANG,4.5,593,Cafe,Jl. Kemang Raya No.27 D,Jakarta Selatan,9,2,9,Toko Kopi
https://www.google.com/maps/place/Kopi+Tikum/data=!4m7!3m6!1s0x2e69f1563250141b:0xde8e3de38df42186!8m2!3d-6.236785!4d106.810894!16s%2Fg%2F11h7dz871d!19sChIJGxRQMlbxaS4RhiH0jeM9jt4?authuser=0&hl=en&rclk=1,Kopi Tikum,4.6,577,Coffee shop,"Jl. Ciranjang No.25, RT.2/RW.1",Jakarta Selatan,0,0,3,Toko Kopi
https://www.google.com/maps/place/Tanamera+Coffee+%26+Roastery+Kemang/data=!4m7!3m6!1s0x2e69f1dfa8dea7ef:0x369033430836f2fb!8m2!3d-6.2557546!4d106.8099044!16s%2Fg%2F11fhvjr9v8!19sChIJ76feqN_xaS4R-_I2CEMzkDY?authuser=0&hl=en&rclk=1,Tanamera Coffee & Roastery Kemang,4.5,502,Coffee shop,"Jl. Taman Kemang 1 No.6, RW.1",Jakarta Selatan,8,2,9,Toko Kopi
https://www.google.com/maps/place/Kopi+Muja/data=!4m7!3m6!1s0x2e69f12119226107:0x77d26746de3430f0!8m2!3d-6.2461073!4d106.7917476!16s%2Fg%2F11fn956nby!19sChIJB2EiGSHxaS4R8DA03kZn0nc?authuser=0&hl=en&rclk=1,Kopi Muja,4.5,460,Coffee shop,Jl. Ahmad Dahlan No.18,Jakarta Selatan,3,6,5,Toko Kopi
https://www.google.com/maps/place/KOMPLEK+-+Suasanakopi.+Flagship+Store/data=!4m7!3m6!1s0x2e69f11ca7645229:0x2719f32dca3ee9d9!8m2!3d-6.2446183!4d106.7894518!16s%2Fg%2F11j38458wb!19sChIJKVJkpxzxaS4R2ek-yi3zGSc?authuser=0&hl=en&rclk=1,KOMPLEK - Suasanakopi. Flagship Store,4.6,433,Coffee shop,"12, Jl. Gandaria Tengah II No.22, RW.1",Jakarta Selatan,4,6,4,Toko Kopi
https://www.google.com/maps/place/Diskusi+Kopi+%26+Ruang+Berbagi+Kawi/data=!4m7!3m6!1s0x2e69f5d44807407b:0x5c9ce442a043f46b!8m2!3d-6.2103916!4d106.8343277!16s%2Fg%2F11jcm9dpz0!19sChIJe0AHSNT1aS4Ra_RDoELknFw?authuser=0&hl=en&rclk=1,Diskusi Kopi & Ruang Berbagi Kawi,4.6,401,Cafe,"Jl. Kawi Raya No.18, RT.6/RW.2",Jakarta Selatan,1,5,6,Toko Kopi
https://www.google.com/maps/place/Mineral+Cafe/data=!4m7!3m6!1s0x2e69f172467cf7e7:0x54c7b0a39c0bcbf4!8m2!3d-6.2467627!4d106.7907841!16s%2Fg%2F11j8mtr29d!19sChIJ5_d8RnLxaS4R9MsLnKOwx1Q?authuser=0&hl=en&rclk=1,Mineral Cafe,4.5,351,Coffee shop,"1, Jl. Gandaria Tengah III No.17, RT.1/RW.3",Jakarta Selatan,3,6,5,Toko Kopi
https://www.google.com/maps/place/Kopi+Susu+Bu+Lurah/data=!4m7!3m6!1s0x2e69f404e2af6ced:0xacee4b3529895e4e!8m2!3d-6.2087793!4d106.8266925!16s%2Fg%2F11fz064jt0!19sChIJ7Wyv4gT0aS4RTl6JKTVL7qw?authuser=0&hl=en&rclk=1,Kopi Susu Bu Lurah,4.5,346,Coffee shop,"Jl. Setia Budi Tengah No.11, RT.1/RW.1",Jakarta Selatan,3,0,8,Toko Kopi
